0 71912.736 143825472.0 2840
2840 53309.332 106618664.0 2040
4880 65192.744000000006 130385488.0 2270
7150 70345.76400000001 140691528.0 2740
9890 45094.596 90189192.0 1770
11660 17858.808 35717616.0 2500
14160 39920.74 79841480.0 1750
15910 52618.90000000001 105237800.0 3720
19630 39428.884 78857768.0 1390
21020 42036.716 84073432.0 2510
23530 70813.84 141627680.0 2690
26220 60143.416 120286832.0 2270
28490 45304.40800000001 90608816.0 1930
30420 27341.664 54683328.0 2190
32610 70603.932 141207864.0 2530
35140 34697.7 69395400.0 1420
36560 83089.248 166178496.0 3080
39640 74883.428 149766856.0 2140
41780 73789.44 147578880.0 1710
43490 75812.252 151624504.0 7010
50500 43140.86 86281720.0 1450
51950 76348.892 152697784.0 2760
54710 38442.404 76884808.0 1380
56090 65621.348 131242696.0 2660
0 71912.736 143825472.0 2840
2840 49785.716 99571432.0 1900
4740 52390.668000000005 104781336.0 1810
6550 63058.971999999994 126117944.0 2520
9070 41141.028 82282056.0 1600
10670 48971.547999999995 97943096.0 3620
14290 33384.74 66769480.0 1460
15750 63081.488 126162976.0 4150
19900 33274.248 66548496.0 1180
21080 51367.007999999994 102734016.0 2840
23920 65158.136 130316272.0 2500
26420 42785.32 85570640.0 1690
28110 49054.384 98108768.0 1780
29890 27341.664 54683328.0 2410
32300 27091.476 54182952.0 1020
33320 68524.192 137048384.0 2520
35840 34029.06 68058120.0 1350
37190 101852.592 203705184.0 3480
40670 76989.54800000001 153979096.0 1930
42600 66818.16799999999 133636336.0 3220
45820 33015.86 66031720.0 4260
50080 43793.424 87586848.0 1460
51540 38442.404 76884808.0 1270
52810 42944.932 85889864.0 1630
54440 72311.78 144623560.0 2690
